,activity_type,acc_x,acc_y,acc_z
862,Still,996,-24,37
863,Still,997,-24,38
864,Still,997,-24,38
865,Still,997,-24,38
866,Still,996,-25,38
867,Still,997,-24,38
868,Still,996,-24,38
869,Still,996,-24,38
870,Still,997,-25,38
871,Still,997,-24,38
872,Still,997,-24,38
873,Still,997,-24,38
874,Still,997,-24,38
875,Still,996,-24,38
876,Still,997,-24,38
877,Still,996,-24,38
878,Still,996,-24,38
879,Still,997,-24,38
880,Still,997,-25,38
881,Still,997,-24,38
882,Still,997,-24,39
883,Still,997,-24,39
884,Still,997,-24,37
885,Still,996,-24,38
886,Still,996,-25,38
887,Still,996,-25,38
888,Still,997,-25,37
889,Still,997,-25,38
890,Still,997,-24,38
891,Still,997,-24,38
892,Still,996,-24,38
893,Still,996,-24,38
894,Still,997,-24,38
895,Still,996,-24,39
896,Still,996,-24,39
897,Still,997,-24,38
898,Still,997,-24,38
899,Still,996,-25,38
900,Still,996,-25,38
901,Still,996,-24,38
902,Still,996,-24,38
903,Still,997,-24,38
904,Still,996,-24,38
905,Still,996,-24,38
906,Still,996,-24,38
907,Still,997,-23,38
908,Still,997,-25,37
909,Still,997,-25,37
910,Still,997,-24,38
911,Still,997,-24,38
912,Still,996,-24,38
913,Still,996,-24,38
914,Still,996,-24,38
915,Still,996,-24,38
916,Still,996,-24,38
917,Still,997,-25,38
918,Still,997,-25,38
919,Still,996,-24,38
920,Still,997,-24,38
921,Still,996,-24,38
922,Still,996,-24,38
923,Still,997,-25,38
924,Still,997,-24,38
925,Still,996,-24,38
926,Still,998,-24,37
927,Still,998,-24,37
928,Still,997,-24,38
929,Still,997,-24,38
930,Still,997,-24,38
931,Still,997,-24,38
932,Still,996,-24,38
933,Still,997,-24,38
934,Still,997,-24,38
935,Still,996,-24,37
936,Still,996,-24,37
937,Still,997,-24,39
938,Still,997,-24,38
939,Still,997,-24,37
940,Still,997,-24,37
941,Still,997,-24,38
942,Still,996,-24,37
943,Still,997,-24,38
944,Still,996,-24,39
945,Still,996,-24,39
946,Still,996,-24,38
947,Still,997,-25,38
948,Still,996,-24,38
949,Still,996,-24,38
950,Still,996,-24,39
951,Still,997,-24,38
952,Still,996,-24,39
953,Still,996,-24,38
954,Still,997,-24,38
955,Still,997,-24,37
956,Still,997,-25,38
957,Still,997,-23,38
958,Still,997,-23,38
959,Still,996,-24,38
960,Still,998,-24,38
961,Still,997,-24,38
962,Still,997,-24,38
963,Still,997,-25,38
964,Still,997,-24,38
965,Still,996,-24,38
966,Still,998,-24,38
967,Still,998,-24,38
968,Still,996,-25,38
969,Still,997,-24,39
970,Still,996,-23,38
971,Still,996,-23,38
972,Still,996,-24,39
973,Still,997,-25,38
974,Still,995,-24,38
975,Still,997,-24,38
976,Still,997,-24,38
977,Still,995,-24,38
978,Still,998,-25,37
979,Still,996,-24,37
980,Still,996,-24,37
981,Still,996,-24,39
982,Still,997,-24,38
983,Still,997,-24,38
984,Still,998,-24,38
985,Still,998,-24,38
986,Still,996,-24,39
987,Still,997,-24,38
988,Still,996,-24,38
989,Still,996,-24,38
990,Still,997,-24,38
991,Still,997,-24,38
992,Still,996,-25,38
993,Still,996,-25,38
994,Still,997,-25,38
995,Still,997,-24,37
996,Still,996,-24,38
997,Still,996,-23,38
998,Still,996,-23,38
999,Still,998,-25,39
1000,Still,995,-23,38
1001,Still,998,-25,38
1002,Still,998,-25,38
1003,Still,995,-24,38
1004,Still,996,-23,39
1005,Still,997,-24,38
1006,Still,995,-24,38
1007,Still,995,-24,38
1008,Still,998,-24,38
1009,Still,996,-24,38
1010,Still,996,-24,38
1011,Still,996,-24,38
1012,Still,997,-24,38
1013,Still,996,-24,38
1014,Still,999,-24,40
1015,Still,995,-22,35
1016,Still,995,-22,35
1017,Still,996,-25,39
1018,Still,997,-24,38
1019,Still,995,-24,38
1020,Still,995,-24,38
1021,Still,999,-24,38
1022,Still,995,-24,38
1023,Still,996,-25,39
1024,Still,996,-25,39
1025,Still,998,-24,39
1026,Still,996,-24,39
1027,Still,997,-24,39
1028,Still,995,-25,38
1029,Still,995,-25,38
1030,Still,998,-24,38
1031,Still,997,-24,38
1032,Still,996,-24,38
1033,Still,996,-24,38
1034,Still,997,-24,38
1035,Still,996,-25,39
1036,Still,998,-24,38
1037,Still,996,-24,38
1038,Still,996,-24,38
1039,Still,997,-24,38
1040,Still,996,-24,39
1041,Still,996,-24,38
1042,Still,996,-24,38
1043,Still,997,-24,37
1044,Still,996,-24,38
1045,Still,997,-24,38
1046,Still,996,-24,38
1047,Still,996,-24,38
1048,Still,997,-24,37
1049,Still,996,-24,39
1050,Still,996,-24,38
1051,Still,996,-24,38
1052,Still,997,-24,38
1053,Still,996,-24,38
1054,Still,997,-25,38
1055,Still,997,-25,38
1056,Still,996,-24,38
1057,Still,996,-24,38
1058,Still,997,-25,37
1059,Still,997,-24,38
1060,Still,997,-24,38
1061,Still,996,-24,38
1062,Still,996,-24,38
1063,Still,996,-24,38
1064,Still,996,-24,38
1065,Still,996,-25,38
1066,Still,996,-24,38
1067,Still,997,-24,38
1068,Still,996,-23,38
1069,Still,996,-23,38
1070,Still,997,-25,38
1071,Still,996,-23,38
1072,Still,996,-24,38
1073,Still,996,-24,38
1074,Still,997,-24,38
1075,Still,996,-24,38
1076,Still,996,-24,38
1077,Still,996,-24,38
1078,Still,996,-24,38
1079,Still,997,-24,38
1080,Still,996,-25,38
1081,Still,996,-24,38
1082,Still,996,-24,38
1083,Still,997,-25,38
1084,Still,996,-24,38
1085,Still,996,-24,38
1086,Still,996,-24,38
1087,Still,997,-24,38
1088,Still,996,-24,38
1089,Still,996,-24,38
1090,Still,997,-24,38
1091,Still,997,-24,38
1092,Still,997,-24,38
1093,Still,996,-24,39
1094,Still,996,-24,38
1095,Still,996,-24,38
1096,Still,996,-25,38
1097,Still,996,-24,37
1098,Still,997,-25,38
1099,Still,996,-24,38
1100,Still,996,-24,38
1101,Still,996,-24,38
1102,Still,997,-25,38
1103,Still,996,-24,38
1104,Still,996,-24,38
1105,Still,997,-24,38
1106,Still,997,-24,38
1107,Still,996,-24,38
1108,Still,996,-24,38
1109,Still,996,-24,38
1110,Still,996,-24,38
1111,Still,997,-24,38
1112,Still,996,-24,39
1113,Still,996,-24,39
1114,Still,996,-24,38
1115,Still,997,-24,38
1116,Still,996,-24,38
1117,Still,996,-24,38
1118,Still,996,-24,38
1119,Still,997,-24,38
1120,Still,996,-24,38
1121,Still,997,-24,38
1122,Still,997,-24,38
1123,Still,996,-24,38
1124,Still,996,-24,38
1125,Still,997,-24,38
1126,Still,997,-24,38
1127,Still,997,-24,38
1128,Still,997,-24,38
1129,Still,996,-24,38
1130,Still,997,-24,38
1131,Still,997,-24,38
1132,Still,996,-24,38
1133,Still,996,-24,38
1134,Still,997,-24,38
1135,Still,997,-24,38
1136,Still,996,-24,38
1137,Still,996,-25,38
1138,Still,996,-24,37
1139,Still,996,-24,38
1140,Still,996,-24,38
1141,Still,997,-24,38
1142,Still,997,-24,38
